,id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
11844,2623039082,20150218T000000,3,3.5,2050,21744,2.0,1,4,4,9,1750,300,1930,0,98166,47.4536,-122.376,2300,12200,770000
6517,5437200050,20141120T000000,4,2.0,2720,8819,2.0,0,3,3,8,2240,480,1976,0,98003,47.338,-122.333,2960,9672,560000
11523,1523069128,20150331T000000,5,2.75,2910,85377,1.0,0,0,4,8,1510,1400,1966,0,98027,47.48,-122.03,2160,66120,625000
17342,4232900250,20140710T000000,2,1.5,1340,3600,1.5,0,0,3,7,1340,0,1903,0,98119,47.6358,-122.36399999999999,1340,3600,525000
15367,5113400364,20150126T000000,4,1.5,2480,6383,1.0,0,0,3,7,1380,1100,1946,0,98119,47.6445,-122.374,1440,6000,650000
14290,7785380150,20141215T000000,4,2.75,2720,6427,1.0,0,0,3,8,1650,1070,2008,0,98146,47.4931,-122.354,2720,8484,469950
11208,2125400160,20141114T000000,3,1.75,1340,13241,1.0,0,2,3,7,1340,0,1985,0,98034,47.7268,-122.213,2090,9704,427800
20876,8669180150,20150326T000000,4,3.0,1984,4419,2.0,0,0,3,7,1984,0,2010,0,98002,47.3514,-122.213,2440,4418,300000
10961,9828201920,20150304T000000,3,1.0,1280,3870,1.0,0,0,3,7,640,640,1945,0,98122,47.6163,-122.294,1280,4800,360000
20409,9268851380,20150403T000000,3,2.25,1620,998,2.5,0,0,3,8,1540,80,2012,0,98027,47.5394,-122.027,1620,1068,461000
19531,3303850360,20140625T000000,4,3.5,4660,17398,2.0,0,2,3,11,4660,0,2003,0,98006,47.5422,-122.11200000000001,5080,24913,1280000
13264,2028700360,20140523T000000,3,1.75,1620,3975,1.0,0,0,5,7,940,680,1926,0,98117,47.6786,-122.368,1320,3922,641000
282,7424700045,20150513T000000,5,3.0,3830,8480,2.0,0,1,5,9,2630,1200,1905,1994,98122,47.6166,-122.287,3050,7556,2050000
14680,5476800201,20141020T000000,3,2.0,1830,17321,1.0,0,0,4,7,1100,730,1948,0,98178,47.5072,-122.272,1450,10706,295000
17960,8952900245,20140715T000000,6,3.25,4920,20590,1.0,0,3,4,9,2730,2190,1960,0,98118,47.5468,-122.26700000000001,3700,14994,850000
12443,4051110240,20140825T000000,3,2.5,1750,7490,1.0,0,0,4,7,1180,570,1979,0,98042,47.3746,-122.149,1570,7490,225000
4305,2473410740,20141027T000000,3,1.75,1460,7884,1.0,0,0,3,8,1460,0,1975,0,98058,47.4457,-122.12799999999999,2050,7210,315000
9280,4443800385,20150506T000000,2,1.0,1480,4080,1.0,0,0,3,7,1050,430,1949,0,98117,47.6842,-122.39299999999999,1310,4080,778100
19671,4055700784,20140815T000000,4,2.5,3420,17038,2.0,0,0,3,9,3420,0,2007,0,98034,47.718,-122.241,2520,14190,720000
951,9455200445,20150325T000000,3,1.75,1330,6743,1.0,0,0,3,8,1330,0,1958,2002,98125,47.7012,-122.286,2600,7350,601000
18140,5706202070,20140930T000000,4,2.5,1560,12220,1.5,0,0,4,7,1560,0,1965,0,98027,47.5287,-122.053,1920,12220,511100
17567,2025701390,20140812T000000,3,2.25,1900,7479,2.0,0,0,4,7,1900,0,1992,0,98038,47.3495,-122.037,1520,6559,316000
15203,8001600130,20150501T000000,3,2.5,1770,9450,1.0,0,0,3,8,1770,0,1988,0,98001,47.3196,-122.272,2200,8582,289950
5867,7349800780,20140805T000000,2,1.75,1050,9800,1.5,0,0,4,6,1050,0,1975,0,98019,47.7595,-121.473,1230,12726,175000
19603,3124089060,20150424T000000,3,1.0,1250,13503,1.5,0,0,4,6,1250,0,1931,0,98065,47.526,-121.829,1450,13503,282000
9622,3574750150,20140514T000000,3,2.5,1820,4883,2.0,0,0,3,9,1820,0,2005,0,98028,47.7355,-122.22399999999999,2720,5002,511000
15323,2922701305,20150402T000000,2,1.75,1520,4220,1.0,0,0,4,7,840,680,1910,0,98117,47.6876,-122.366,1120,5700,470000
917,739980260,20141210T000000,3,2.5,1920,5322,2.0,0,0,3,8,1920,0,1999,0,98031,47.4095,-122.195,1920,5000,324000
8439,6632300230,20141006T000000,3,2.0,1370,7200,1.0,0,0,3,7,1130,240,1926,1955,98125,47.7329,-122.30799999999999,1300,7208,377500
12721,6619900120,20141208T000000,5,3.5,3860,9600,1.0,0,3,4,8,2660,1200,1973,0,98034,47.7139,-122.223,2440,9600,670000
17158,4027701284,20140605T000000,3,2.25,1710,11500,1.0,0,0,3,7,1210,500,1978,0,98028,47.7675,-122.26700000000001,1800,11500,385000
15958,5226500250,20141015T000000,4,2.5,2780,7290,2.0,0,0,3,8,2780,0,1989,0,98059,47.50899999999999,-122.15700000000001,2450,7738,478000
5416,9545250010,20141107T000000,4,2.5,3270,9578,2.0,0,0,3,9,3270,0,1993,0,98027,47.5373,-122.051,3120,8784,785000
6655,1774200190,20150428T000000,3,2.75,2660,32757,1.0,0,0,4,8,2660,0,1975,0,98077,47.7649,-122.098,2720,35191,580000
8586,4055701110,20140612T000000,3,2.0,2420,17859,1.0,0,1,5,9,1500,920,1979,0,98034,47.7074,-122.24600000000001,2955,17859,795000
16473,6600490250,20150421T000000,4,2.5,2060,3608,2.0,0,0,3,7,2060,0,2004,0,98198,47.361999999999995,-122.309,2060,3608,269000
9615,8099900490,20140515T000000,3,2.0,1640,9972,1.0,0,0,4,7,1640,0,1977,0,98075,47.5812,-122.00200000000001,1680,10165,420000
1038,5104511040,20150220T000000,4,2.5,2000,6921,2.0,0,0,3,8,2000,0,2003,0,98038,47.3559,-122.014,2430,6339,380000
7955,9269750690,20150105T000000,4,2.25,1810,7601,1.0,0,0,3,7,1080,730,1986,0,98023,47.2857,-122.35799999999999,1570,7601,299950
12918,7974700150,20150501T000000,5,3.5,3510,4798,2.0,0,0,3,10,2700,810,2008,0,98105,47.669,-122.28200000000001,1460,1684,1250000
5550,8029200190,20141107T000000,3,1.0,1280,7198,1.0,0,0,5,6,1280,0,1916,1983,98022,47.2094,-121.99600000000001,1260,7198,227000
4649,1423089162,20141031T000000,3,2.5,1670,22703,1.0,0,0,3,7,1310,360,1988,0,98045,47.4708,-121.756,1510,16817,415900
19178,1924069115,20150224T000000,3,2.25,2720,54450,2.0,0,0,3,11,2720,0,1997,0,98027,47.5473,-122.09200000000001,3170,60548,873000
10668,1928300640,20140828T000000,3,1.75,1410,4080,1.5,0,0,4,7,1410,0,1927,0,98105,47.6695,-122.32,1820,4080,541000
18050,7701961220,20140626T000000,4,2.5,2990,16809,2.0,0,0,3,11,2990,0,1990,0,98077,47.7123,-122.073,3340,18752,800000
14691,1025059186,20140917T000000,3,1.75,1990,9885,1.0,0,0,4,7,1030,960,1978,0,98052,47.6722,-122.162,1560,10000,438000
1331,5153200030,20150113T000000,2,2.25,2690,15000,1.0,0,2,3,8,1870,820,1987,0,98023,47.3361,-122.353,2690,15000,515000
12189,8148600055,20140513T000000,3,1.0,1040,6535,1.0,0,0,3,6,1040,0,1947,0,98168,47.4906,-122.306,1100,6535,225000
306,7280300196,20150403T000000,4,2.75,1800,7750,1.0,0,0,4,8,1400,400,1965,0,98177,47.7776,-122.384,1800,8275,550000
14528,9510900610,20141030T000000,5,2.75,2300,7600,1.0,0,0,4,7,1400,900,1969,0,98023,47.3084,-122.37200000000001,1750,8500,294000
21293,8862500280,20141230T000000,2,2.5,1570,1268,3.0,0,0,3,7,1570,0,2007,0,98106,47.534,-122.365,1570,1300,208400
13945,524059052,20141209T000000,4,2.25,2420,15482,2.0,0,0,4,8,2420,0,1925,1997,98004,47.5907,-122.196,2870,13905,975000
15230,3754501205,20150429T000000,3,2.5,2840,7500,2.0,0,3,3,11,2840,0,1997,0,98034,47.7049,-122.22399999999999,2580,5918,1085000
534,1521069070,20150218T000000,3,1.0,1040,7405,1.0,0,0,4,6,1040,0,1971,0,98010,47.3105,-122.021,1580,7405,204000
7026,8691300380,20150501T000000,3,2.75,2940,12487,2.0,0,0,3,10,2940,0,1997,0,98075,47.5879,-121.973,3110,10837,795000
4252,87000245,20140930T000000,3,0.75,1040,42180,1.0,0,0,2,6,1040,0,1947,0,98055,47.4518,-122.199,1270,24090,170000
21533,524059322,20150226T000000,3,2.5,2100,4097,2.0,0,0,3,9,2100,0,2008,0,98004,47.5983,-122.2,1780,4764,999999
13798,3585900150,20140519T000000,2,1.75,2430,23400,1.0,0,4,3,10,2430,0,1951,0,98177,47.7616,-122.37200000000001,3150,23600,1000000
9931,629811600,20140724T000000,4,2.5,2740,10533,2.0,0,0,3,9,2740,0,1997,0,98074,47.6095,-122.006,2760,8603,672800
11359,7702020030,20150225T000000,4,2.5,2590,6394,2.0,0,0,3,8,2590,0,2003,0,98028,47.7599,-122.23299999999999,2500,5328,533000
19175,6381501965,20140612T000000,4,1.75,1890,6000,1.0,0,0,4,6,1110,780,1947,0,98125,47.7274,-122.305,1560,6356,430000
18167,2607730490,20140922T000000,3,2.25,1840,11403,2.0,0,0,3,8,1840,0,1993,0,98045,47.4862,-121.79700000000001,2150,11403,417000
9248,322069141,20150114T000000,4,2.5,2640,47480,1.0,0,0,4,8,1590,1050,1979,0,98038,47.4258,-122.021,2390,67415,462000
20376,3304300380,20150108T000000,5,2.75,3380,8179,2.0,0,0,3,9,3380,0,2011,0,98059,47.4827,-122.135,2840,8179,600000
18335,925049318,20140811T000000,3,1.75,1550,4054,1.5,0,0,4,7,1550,0,1926,0,98115,47.6743,-122.301,1510,3889,475000
20191,7853350170,20140516T000000,5,2.5,3200,6455,2.0,0,0,3,9,3200,0,2009,0,98065,47.5446,-121.86200000000001,3290,7924,675000
501,7518503335,20140519T000000,2,1.0,1490,3825,1.0,0,0,3,7,860,630,1929,0,98117,47.6799,-122.381,1460,3825,475000
9875,7129303240,20150102T000000,3,2.0,1600,7995,1.0,0,0,3,7,1600,0,1950,1984,98118,47.5177,-122.257,2440,6900,332500
6508,4217402115,20150421T000000,6,4.75,5480,19401,1.5,1,4,5,11,3910,1570,1936,0,98105,47.6515,-122.277,3510,15810,3650000
15478,4397000500,20140630T000000,4,2.5,2340,11784,2.0,0,0,3,9,2340,0,1997,0,98042,47.38399999999999,-122.149,2250,10760,330000
13224,5016002240,20141008T000000,3,2.25,2160,7500,2.0,0,0,3,10,2160,0,1982,0,98112,47.6232,-122.29899999999999,1550,3839,1010000
19208,8857600540,20150106T000000,6,2.5,2000,7650,1.5,0,0,4,7,1790,210,1960,0,98032,47.3841,-122.288,1710,7650,265000
1607,4137010240,20140716T000000,3,2.25,2820,11625,2.0,0,0,3,8,2820,0,1986,0,98092,47.2621,-122.21799999999999,2290,8488,336000
5509,8121100715,20150209T000000,3,3.0,2830,6041,2.0,0,3,3,8,1840,990,1915,0,98118,47.5694,-122.28299999999999,3420,6360,1086000
14274,5318101075,20140811T000000,3,1.75,2460,4800,1.0,0,0,4,7,1230,1230,1938,0,98112,47.6343,-122.28200000000001,2860,4800,960000
7153,5249803870,20140902T000000,4,3.0,2240,5580,2.0,0,0,5,7,1830,410,1949,0,98118,47.5598,-122.27,1530,4800,530000
858,623069068,20140627T000000,3,1.0,1520,213444,1.5,0,3,5,8,1520,0,1988,0,98027,47.5081,-122.09299999999999,2640,213444,425000
11378,1502400140,20150429T000000,3,1.75,1380,8400,1.0,0,0,3,7,1380,0,1967,0,98003,47.3117,-122.321,1540,8400,275900
2593,538000390,20141028T000000,5,2.5,2070,4698,2.0,0,0,3,7,2070,0,1999,0,98038,47.3539,-122.024,2010,4698,337500
18412,3124059006,20140508T000000,4,3.25,3820,24166,2.0,0,1,4,11,3310,510,1990,0,98040,47.5263,-122.227,2900,18786,1250000
7442,1785400780,20150415T000000,3,2.25,2120,18255,1.0,0,0,3,8,1590,530,1984,0,98074,47.6279,-122.037,2120,12997,550000
4024,9175600025,20141007T000000,7,6.75,7480,41664,2.0,0,2,3,11,5080,2400,1953,0,98166,47.4643,-122.368,2810,33190,800000
18781,8807810110,20140522T000000,3,2.75,2200,14925,1.0,0,0,3,6,1100,1100,1982,0,98053,47.6606,-122.059,1520,14212,432000
8299,2624049165,20140513T000000,3,1.75,1580,11750,1.0,0,0,4,7,1180,400,1951,0,98118,47.5368,-122.265,2150,11750,575000
13489,1426079047,20140911T000000,3,2.25,2520,212137,2.0,0,0,3,9,1590,930,2005,0,98019,47.7384,-121.87799999999999,2000,212137,620000
2540,1862400517,20140813T000000,3,2.0,1320,1298,3.0,0,0,3,7,1320,0,1995,0,98117,47.6959,-122.376,1380,1503,350000
4126,34001304,20150410T000000,5,2.25,2240,5500,1.0,0,0,3,7,1490,750,1959,0,98136,47.5305,-122.391,2010,6050,480000
20512,8946390150,20140722T000000,4,2.5,2229,5723,2.0,0,0,3,7,2229,0,2012,0,98032,47.3693,-122.286,2738,5742,324950
18857,7923600330,20141119T000000,5,1.75,2040,5280,1.0,0,0,4,7,1020,1020,1961,0,98007,47.5941,-122.14399999999999,1720,7344,520000
20364,6056111350,20150512T000000,3,2.25,1430,2343,2.0,0,0,3,8,1430,0,2012,0,98108,47.5648,-122.294,1270,1916,439000
16972,7784400185,20150421T000000,3,1.75,2650,11774,1.0,0,1,3,8,2240,410,1952,0,98146,47.4909,-122.363,2650,10120,499000
4227,2025049175,20150105T000000,2,2.5,1360,2070,2.0,0,0,3,8,1360,0,1999,0,98102,47.6423,-122.329,1920,2092,755000
6116,3261000080,20150310T000000,4,2.75,2460,9520,1.0,0,1,3,8,1680,780,1976,0,98034,47.7021,-122.23299999999999,2380,9600,704111
21256,8141310080,20141103T000000,3,2.0,1670,4438,1.0,0,0,3,7,1670,0,2014,0,98022,47.1948,-121.97399999999999,1670,4558,249950
18343,2944500330,20140825T000000,4,2.5,2510,8580,2.0,0,0,4,8,2510,0,1991,2012,98023,47.295,-122.37,2290,7809,330000
9285,3856904610,20141002T000000,4,1.0,1620,4080,1.5,0,0,3,7,1620,0,1923,0,98105,47.6696,-122.324,1760,4080,485000
18487,1238500978,20140922T000000,3,1.0,950,8450,1.0,0,0,3,7,950,0,1962,0,98033,47.6884,-122.186,1610,10080,365000
15451,3992700048,20140718T000000,4,1.75,2220,6350,1.0,0,0,3,7,1110,1110,1959,0,98125,47.7136,-122.29,1950,8100,526000
2397,2413300240,20141110T000000,4,2.25,1990,7350,1.0,0,0,4,8,1180,810,1978,0,98003,47.3258,-122.32799999999999,2030,7210,280000
16913,1592000050,20140905T000000,4,2.5,2370,9517,1.0,0,0,3,9,1630,740,1984,0,98074,47.6222,-122.03399999999999,2440,9035,655000
20800,6130500070,20141008T000000,3,2.5,1650,2082,3.0,0,0,3,8,1650,0,2007,0,98133,47.7108,-122.33200000000001,1650,1965,378000
20206,7853360250,20140710T000000,5,3.5,3340,5000,2.0,0,0,3,8,2580,760,2012,0,98065,47.5168,-121.87100000000001,3420,5000,592000
17994,6414100026,20150108T000000,2,1.0,1802,11225,1.0,0,0,3,7,1802,0,1961,0,98125,47.7205,-122.323,1810,7332,320000
4599,3592500866,20150402T000000,3,2.75,3150,5520,1.5,0,0,4,8,2130,1020,1925,0,98112,47.6345,-122.302,3160,6200,1206505
4427,4047200265,20140811T000000,2,1.0,1100,17817,1.0,0,0,3,7,620,480,1980,0,98019,47.7728,-121.9,1790,20009,325000
16791,6450301835,20140705T000000,3,1.75,1470,4950,1.0,0,0,3,7,1030,440,1984,0,98133,47.7325,-122.337,1100,5250,459500
17288,5316100920,20140725T000000,3,4.25,5150,7800,2.5,0,2,3,11,4170,980,1954,0,98112,47.6288,-122.28200000000001,4270,7800,2250000
77,2391600320,20150420T000000,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.39399999999999,890,5060,480000
14918,4447300137,20140604T000000,5,3.5,3280,4000,2.0,0,0,3,9,2440,840,2003,0,98117,47.68899999999999,-122.396,1980,4000,989000
15408,2133010290,20140724T000000,4,2.5,2050,14724,2.0,0,0,3,7,2050,0,1989,0,98019,47.73,-121.969,1920,12841,398000
19454,3425059076,20140922T000000,2,3.25,3000,24004,1.0,0,0,3,10,2410,590,1952,0,98005,47.611000000000004,-122.15700000000001,4270,24506,780000
10867,91000135,20150507T000000,4,1.5,2060,4000,1.5,0,2,3,7,1580,480,1920,1990,98103,47.6857,-122.353,1160,4000,750000
10780,2600110560,20141112T000000,4,2.75,2310,10232,1.0,0,0,5,8,1310,1000,1980,0,98006,47.5515,-122.15299999999999,2820,9886,750000
12963,3375300210,20140918T000000,3,1.75,1350,8548,1.0,0,0,3,7,1350,0,1985,0,98003,47.3179,-122.33,1660,8538,250000
763,8856940060,20150227T000000,4,2.75,2730,4683,2.0,0,0,3,7,2730,0,2005,0,98038,47.3608,-122.04299999999999,2230,4924,374950
2167,7297700055,20150305T000000,3,1.0,1190,10350,1.0,0,0,4,7,1190,0,1959,0,98028,47.7428,-122.244,1850,10500,306000
3989,629000615,20141022T000000,4,3.25,3070,10375,2.0,0,0,3,10,2180,890,1962,2005,98004,47.5862,-122.198,2500,11194,1495000
20608,2937300520,20140801T000000,4,2.75,3110,6050,2.0,0,0,3,9,3110,0,2014,0,98052,47.705,-122.126,3590,6054,799990
2973,3278602670,20140930T000000,1,1.0,820,1060,1.0,0,0,3,8,760,60,2007,0,98126,47.5473,-122.37100000000001,1770,1924,219500
1499,3629160060,20150227T000000,4,2.75,3370,7634,1.0,0,2,5,8,2110,1260,1977,0,98056,47.5259,-122.204,2460,7634,720000
15981,9347900020,20150127T000000,3,1.0,880,9035,1.0,0,0,4,6,880,0,1967,0,98059,47.476000000000006,-122.15100000000001,1440,10350,230000
17380,3793500050,20150303T000000,3,2.5,1890,6300,2.0,0,0,3,7,1890,0,2003,0,98038,47.3673,-122.031,2100,6525,310000
10554,2877104316,20141201T000000,4,1.5,1960,4500,1.5,0,2,3,7,1960,0,1922,0,98117,47.6797,-122.359,1960,4500,660000
12950,120059044,20150217T000000,3,1.75,1628,286355,1.0,0,0,3,7,1628,0,1996,0,98092,47.2558,-122.12200000000001,1490,216344,250000
20222,3362400094,20141203T000000,3,2.25,1540,1005,3.0,0,0,3,8,1540,0,2008,0,98103,47.6827,-122.346,1510,1501,550000
6012,7588700080,20150421T000000,4,2.5,3350,4501,2.0,0,0,3,9,2640,710,2002,0,98117,47.688,-122.37899999999999,1000,4500,925000
5742,1224049005,20140708T000000,2,2.0,2360,11340,1.5,0,0,3,9,2360,0,1997,0,98040,47.5835,-122.227,3030,11340,1087500
17051,7606200275,20141230T000000,3,1.5,760,40039,1.0,0,0,3,6,760,0,1906,0,98065,47.5295,-121.829,980,6000,190000
10318,2323089065,20141217T000000,4,2.75,4600,322188,1.0,0,4,3,10,2400,2200,1989,0,98045,47.4626,-121.73899999999999,3740,114562,800000
10590,4037500335,20140606T000000,4,2.25,1740,8449,1.0,0,0,4,7,1170,570,1958,0,98008,47.6079,-122.12299999999999,1980,11175,455000
1647,9276200890,20150429T000000,2,1.75,1760,2275,1.5,0,0,3,6,1040,720,1912,0,98116,47.5803,-122.39299999999999,1380,3750,450000
1770,625059051,20140903T000000,4,2.25,4370,22863,2.5,0,3,4,10,3670,700,1907,1994,98033,47.6878,-122.215,2980,22863,2350000
6320,8067000020,20140611T000000,5,3.5,2100,5107,2.0,0,0,3,7,1410,690,1999,0,98178,47.5108,-122.257,1410,5650,295000
9428,1853081250,20141229T000000,4,2.75,3120,5000,2.0,0,0,3,9,3120,0,2010,0,98074,47.593999999999994,-122.06200000000001,3200,5000,800000
16917,421079142,20140509T000000,4,2.25,3060,48787,2.0,0,0,3,8,3060,0,1992,0,98010,47.3397,-121.91799999999999,2090,48787,415000
2415,3904100106,20150427T000000,3,1.0,2320,6750,1.0,0,0,3,7,1160,1160,1960,0,98118,47.5327,-122.27600000000001,1230,6075,335000
9039,6163901772,20140918T000000,3,1.75,2020,10031,1.0,0,0,5,7,1370,650,1952,0,98155,47.7487,-122.319,1500,8456,535000
20470,291310150,20140602T000000,3,2.25,1410,1290,2.0,0,0,3,7,1290,120,2004,0,98027,47.5345,-122.069,1490,1380,391000
9343,6743700317,20150204T000000,2,1.0,1140,23779,1.5,0,0,3,6,1140,0,1966,0,98033,47.6948,-122.17200000000001,2940,8417,582500
2005,7795400046,20140611T000000,2,1.0,1350,10096,1.0,0,2,4,7,1350,0,1952,0,98045,47.4967,-121.77799999999999,1280,10095,276900
10428,626059155,20141210T000000,3,1.75,1010,12000,1.0,0,0,4,7,1010,0,1977,0,98011,47.77,-122.20700000000001,1080,10619,315000
16302,7397300170,20140530T000000,4,3.5,5550,28078,2.0,0,2,4,12,3350,2200,2000,0,98039,47.6395,-122.234,2980,19602,3710000
13551,7202330610,20140721T000000,3,2.5,2020,5613,2.0,0,0,3,7,2020,0,2003,0,98053,47.6835,-122.035,2020,4609,528000
4808,8650300190,20140521T000000,3,2.5,2540,6093,2.0,0,0,3,9,2540,0,1999,0,98034,47.7042,-122.236,2540,5924,567000
17916,1726600110,20140717T000000,3,2.25,2260,13209,1.0,0,0,3,9,2260,0,1977,0,98005,47.6385,-122.167,2820,12534,675000
17860,3579800405,20140825T000000,4,2.5,2300,10880,1.0,0,0,4,7,1190,1110,1961,0,98028,47.7341,-122.242,1960,10400,440000
18531,5151600300,20140812T000000,4,2.75,2500,12848,1.0,0,1,3,8,2120,380,1975,0,98003,47.3364,-122.321,2370,12497,390000
8165,1797500530,20150505T000000,1,1.0,1220,4160,1.0,0,0,3,7,1220,0,1922,0,98115,47.6746,-122.315,1970,4200,655100
19618,6392000625,20140712T000000,2,1.0,900,6000,1.0,0,0,3,7,900,0,1944,2004,98115,47.6855,-122.289,1460,4800,451000
14795,9476200035,20141120T000000,2,1.0,880,6900,1.0,0,0,3,6,880,0,1943,0,98056,47.4903,-122.191,1060,8000,190000
10148,1357300240,20141027T000000,3,1.75,1320,7200,1.0,0,0,4,7,1320,0,1977,0,98028,47.7341,-122.23700000000001,1750,7260,333500
20865,8010100220,20141014T000000,4,3.5,3310,4684,2.0,0,0,3,9,2290,1020,2014,0,98116,47.57899999999999,-122.389,1850,4750,999950
12668,4006000281,20140729T000000,3,1.75,2380,12681,1.0,0,0,1,6,1380,1000,1918,0,98118,47.5294,-122.279,1720,6377,227000
14631,3426049124,20150318T000000,2,1.75,1680,8367,1.0,0,0,3,6,840,840,1914,0,98115,47.6976,-122.288,1830,6720,334000
15133,910000104,20140806T000000,2,1.0,790,7500,1.0,0,0,3,6,790,0,1950,0,98011,47.7644,-122.198,1970,8970,245500
7049,1328330290,20140729T000000,4,1.75,1990,7194,1.0,0,0,4,8,1400,590,1978,0,98058,47.4417,-122.135,1820,7400,328000
8522,3331001910,20140818T000000,2,1.0,1170,5150,1.0,0,0,3,6,980,190,1907,0,98118,47.5503,-122.28299999999999,1660,5150,312000
5431,9465900500,20140617T000000,3,2.5,2830,6536,2.0,0,0,3,9,2830,0,1989,0,98072,47.7462,-122.17200000000001,2710,6954,605500
5474,3293700221,20141021T000000,3,1.0,1260,7660,1.0,0,0,3,6,1260,0,1947,0,98133,47.7476,-122.35,1990,7861,280000
1703,3121069036,20141208T000000,3,1.75,3020,360241,2.0,0,0,3,8,3020,0,1992,0,98092,47.2662,-122.088,1890,209959,617000
18798,1930301220,20150417T000000,3,1.0,1530,2400,1.0,0,0,4,7,890,640,1928,0,98103,47.6543,-122.354,1240,2400,575000
6131,1377800010,20141119T000000,3,1.0,1190,7000,1.0,0,0,3,7,1190,0,1943,0,98199,47.6453,-122.40299999999999,1350,7000,517500
11015,4388000070,20150127T000000,3,1.75,1460,7967,1.0,0,0,3,7,1040,420,1977,0,98023,47.3199,-122.374,1460,6835,186000
14944,7856700920,20140628T000000,4,2.5,2190,11500,1.0,0,0,4,8,1430,760,1972,0,98006,47.5668,-122.147,2580,9700,699900
9211,1726069198,20140918T000000,3,2.5,3260,91911,2.0,0,0,4,9,3260,0,1984,0,98077,47.736999999999995,-122.074,2520,65775,850000
12523,2799800180,20150323T000000,4,2.5,2690,5505,2.0,0,0,3,8,2690,0,2004,0,98042,47.3666,-122.119,2690,5505,333000
6173,304000380,20141006T000000,3,1.0,1090,17630,1.0,0,0,4,7,1090,0,1962,0,98002,47.288000000000004,-122.196,1300,12000,197000
6651,8651402910,20140806T000000,2,1.0,770,5200,1.0,0,0,5,6,770,0,1969,0,98042,47.3627,-122.087,1150,5330,176000
9188,6197200021,20141106T000000,3,1.0,980,6800,1.0,0,0,3,6,980,0,1946,0,98058,47.4411,-122.186,1140,9975,144000
14138,1643500072,20140905T000000,4,2.25,1450,7245,1.0,0,0,5,7,1450,0,1950,1983,98133,47.7643,-122.34299999999999,1660,7800,375000
20187,2767603962,20150414T000000,2,1.75,1070,1276,3.0,0,0,3,8,1070,0,2006,0,98107,47.6719,-122.39,1290,2057,462550
11173,6683000295,20140513T000000,3,2.5,2010,14298,2.0,0,0,3,7,2010,0,1977,0,98070,47.5069,-122.47200000000001,2010,14298,350000
15366,7972000010,20141021T000000,3,1.75,1140,9628,1.0,0,0,4,7,1140,0,1969,0,98023,47.2933,-122.37200000000001,1510,9633,195000
14066,8001600150,20150310T000000,3,1.5,1810,8232,1.0,0,0,3,8,1810,0,1988,0,98001,47.3195,-122.273,2260,8491,300000
16689,5418650080,20140814T000000,4,2.5,3690,11468,2.0,0,0,3,11,3690,0,1987,0,98027,47.5699,-122.09200000000001,3370,10751,900000
19437,5379803386,20140801T000000,4,1.75,1500,8400,1.0,0,0,3,7,1200,300,1956,0,98188,47.4531,-122.273,1780,9913,289950
14804,8856960540,20140620T000000,3,2.25,1860,11227,2.0,0,0,3,7,1860,0,1995,0,98038,47.3879,-122.031,1820,8800,330000
3564,2770606822,20140820T000000,3,2.5,1300,877,2.0,0,0,3,7,1060,240,2008,0,98199,47.6591,-122.39200000000001,1320,1414,417000
12339,5132000140,20150120T000000,6,1.0,1370,5080,1.5,0,0,3,6,1120,250,1931,0,98106,47.5238,-122.35,1020,5080,415000
2515,133000070,20140916T000000,2,1.0,680,6400,1.0,0,0,3,6,680,0,1943,0,98168,47.5136,-122.316,1240,7800,179900
7459,1250202660,20140924T000000,4,1.0,2290,6300,1.5,0,4,4,7,2150,140,1921,0,98144,47.5917,-122.29,2390,6300,825000
4029,7550800945,20141007T000000,2,1.0,1450,4500,1.5,0,0,4,7,1450,0,1921,0,98107,47.6739,-122.396,1470,5000,526000
16284,3586500630,20140924T000000,2,1.75,2170,25732,1.0,0,2,4,8,2170,0,1952,0,98177,47.7542,-122.37200000000001,3020,23135,850000
4219,274100090,20150108T000000,5,1.75,3290,8000,1.0,0,0,3,7,1790,1500,1968,0,98030,47.3733,-122.214,2380,7000,329500
16664,1568100670,20150320T000000,3,1.75,1880,8706,1.0,0,0,3,7,940,940,1927,0,98155,47.7362,-122.292,1880,7200,395900
6534,8645530010,20150325T000000,3,2.0,1400,7384,1.0,0,0,3,7,1150,250,1979,0,98058,47.4655,-122.17399999999999,1820,7992,295000
6986,3342100780,20140709T000000,3,2.5,2600,5100,2.0,0,1,3,8,2600,0,1998,0,98056,47.5175,-122.205,2270,5400,583000
14257,2551500180,20140905T000000,3,1.75,1250,9486,1.0,0,0,4,6,1250,0,1971,0,98070,47.4341,-122.446,1270,9600,295000
11671,9353301070,20150508T000000,5,2.25,2100,10726,1.0,0,0,4,7,1050,1050,1963,0,98059,47.4922,-122.134,2100,10726,342500
3032,7888100090,20140925T000000,4,1.0,1520,7298,1.5,0,0,3,7,1520,0,1960,0,98198,47.3706,-122.31,1520,7298,160000
4706,4319200820,20150122T000000,3,1.0,950,5214,1.0,0,0,3,7,830,120,1944,0,98126,47.5362,-122.37899999999999,1490,7636,333000
20371,8029770190,20141015T000000,4,2.5,3400,4840,2.0,0,0,3,10,3190,210,2006,0,98059,47.5066,-122.146,3400,5710,745000
